Time,Screen Name,Tweet,Followers,RT
0:46:49,@emmstheword,IACAdoptionHelp: Why Honesty Is Important In Open Adoptions https://t.co/dkbwAZpMPa #adoption #supermanwasadopted #adopt #lovewins,109,0
0:46:55,@ImALiveC,RT @theamazingmenow: love has no religion #LoveWins https://t.co/JTdMa0gJ85,271,7
0:46:56,@JudyAnn_67,RT @_MercyBeat: -Keep walking towards the Sun prayer for all - Sweet wonderful you's ! Stay happy best you can #LoveWins https://t.co/h4K3…,2736,3
0:47:00,@Pretty_Renishia,RT @pattiemallette: You are on point @danallender !! #LoveWins #BoldLoveBook https://t.co/Ut4ow0Zxqv,273,1258
0:47:01,@CowgirlProse,What if the Pieces Fell? @CowgirlProse #amwriting #poetry #reallygoodpoety #andyes #life #LoveWins https://t.co/kVeIh8VMGb,4607,1
0:47:30,@Pretty_Renishia,RT @pattiemallette: Yes God loves you exactly as you are but loves you way too much to leave you that way. #growinghurts #lovewins,273,3753
0:47:34,@Pretty_Renishia,RT @pattiemallette: No one is perfect. Not even you. Stop all the judging. Let it go. Life is short. #lovewins #noregrets,273,4500
0:48:25,@ErikaLordHodges,@OldNavy #LoveWins Thankful for our beautiful family and his brave Dad that defied laws for love! https://t.co/1wxGrBQcsB,11,0
0:49:47,@PETERYanni,RT @iamthebunda: This one's for all the racists haters out there. #OldNavy #LoveWins https://t.co/Xzh75lvUE4,296,16
0:49:55,@MuenchLisa,RT @CowgirlProse: What if the Pieces Fell? @CowgirlProse #amwriting #poetry #reallygoodpoety #andyes #life #LoveWins https://t.co/kVeIh8V…,671,1
0:49:59,@PETERYanni,RT @emilyxmadison: The fact that it's 2016 & people freaked out over an ad of an interracial family is disturbing #OldNavy #LoveWins https:…,296,61
0:50:06,@PETERYanni,RT @Angelparmar: 11 years together #OldNavy #LoveWins https://t.co/mWiMBHWrIJ,296,25
0:50:14,@Hibiscus1108,RT @AmbrosianSquad: And he ships himself and ambrose #LoveWins https://t.co/LhEDjs6RCW,22,6
0:50:23,@PETERYanni,RT @staceyvalley: Thank you @OldNavy for featuring interracial families in your ads! #oldnavy #LoveWins https://t.co/o7oMQErZPp,296,84
0:50:48,@JudyAnn_67,"@_MercyBeat ♫ ""You make us HAPPY with the things you do"" ♫ #LoveWIns Soul Sis! xoxo https://t.co/ZBUDNbwY0v",2736,0
0:50:55,@_xowhitt,I support you 💟 @papinik_ #LoveWins https://t.co/nIDATJWx8I,788,1
0:52:04,@debrawright1771,How do you get rid of a bad migraine😭😭 . . . . #lovewins #loveislove #happypride… https://t.co/dzCTCgseho,1147,0
0:52:30,@PurrStylo,RT @emilyxmadison: The fact that it's 2016 & people freaked out over an ad of an interracial family is disturbing #OldNavy #LoveWins https:…,1457,61
0:53:47,@Tota_Vallejo,@NiiaAlvaradog @sebastian10_07 jijijijiji #LoveWins 👬🌈,379,0
0:53:48,@beatmastawes,With #love the world always looks better. #LoveWins https://t.co/0YddTF2MNX,210,0
0:54:03,@MaryOurStar,#LoveWins By love alone we will be judged. https://t.co/rUoqQO30Bo,210,2
0:55:46,@Cerium_58,"RT @simplyeveryblog: I can't believe the backlash of racism that @OldNavy has faced. As an interracial family, I am disgusted by the bigotr…",95,1
0:55:57,@jonathanmiami,RT @kimmiepearlman: Somedays I like being a lawyer and I love the law. Today is one of those all too rare days. #LoveWins,104346,3
0:57:23,@Tota_Vallejo,Hoy en #ConfesionesTuiterasDeMedianoche #LoveWins 👬🌈 https://t.co/sUP2A3uRMJ,379,1
0:57:54,@SheGoesByJenny,Pretty much makes me want to go buy a pair of cargo pants. https://t.co/Alrt5OpjNA #LoveWins @OldNavy,168,0
0:58:51,@SconnieTrader,@itsLeeee @dimsumyoulose @RussianBear @ExtraDividends #LoveWins #NeverDominos,958,0
,@letsgotothemall,,,
,@LoveWins_Dating,,,
,@lorsmoon,,,
,@analise21,,,
,@lorsmoon,,,
,@claudine_lavoie,,,
,@paugalang,,,
,@Normality77,,,
,@__ebz__,,,
,@Sarah_LaRocca,,,
,@twenty20sight,,,
,@ReghinaCrump,,,
,@TheDJF,,,
,@MyGood_Health1,,,
,@SouthBVintage,,,
,@Yay_Its_Sara,,,
,@pinkyphat1,,,
,@bridgetcgalvin,,,
,@EngleGarrett,,,
,@MaraBee36,,,
,@drrn_crss,,,
,@mattysmirchoff,,,
,@bmendoza9671,,,
,@bmendoza9671,,,
,@bmendoza9671,,,
,@bmendoza9671,,,
,@bmendoza9671,,,
,@dannyfigueroa,,,
,@mc_morn,,,
,@charlicutright,,,
,@WhiteWizaard,,,
,@ariebarie20,,,
,@jacqblacq,,,
,@JenP,,,
,@DinduNuffink,,,
,@iactup,,,
,@Belliiisima89,,,
,@TheThrashKing,,,
,@AninaNYC,,,
,@Don_GrandeZ,,,
,@SheGoesByJenny,,,
,@sondraduckert,,,
,@PamelaL21,,,
,@_joanness,,,
,@HaythamA518,,,
,@skalifowitz,,,
,@jazzchica,,,
,@ninabreygin,,,
,@BroyleLindaoven,,,
,@QueenLeanB,,,
,@VivaLaViNow,,,
,@TerrillB21,,,
,@MHvonHilte,,,
,@FFCCOOLJC,,,
,@jelixabetartist,,,
,@an_auld,,,
,@MissLilyRowan,,,
,@wensco40,,,
,@FFCCOOLJC,,,
,@USA4Bernie,,,
,@The_VinodJagtap,,,
,@The_Manikinhead,,,
,@ChantellSain,,,
,@kifleyeezus,,,
,@groom_of_chucky,,,
,@BujangJalang_,,,
,@kidrauhlch29,,,
,@joelstarkhoutx,,,
,@drizzy_ak,,,
,@______ZM,,,
,@Penasipenyair,,,
,@urisharf,,,
,@i_70s,,,
,@MarkyMark_89,,,
,@IndelibleImprov,,,
,@vickybell78,,,
,@AlbertoBernal92,,,
,@jpjeff10,,,
,@darcy6179,,,
,@CosmiixArtistry,,,
,@StrongDucks,,,
,@ColferDanger,,,
,@Feng_Tweet,,,
,@DorisDenise1,,,
,@thunderbuttocs,,,
,@iamERICAILAH,,,
,@Eiology,,,
,@Sonam,,,
,@CherylDBryant,,,
,@LoveWins_Dating,,,
,@boytoy1814,,,
,@Maalim_2015,,,
,@axelhygpe,,,
,@notyesbutyas,,,
,@lucieborel,,,
,@OdiniaInvictus,,,
,@endless_classic,,,
,@KingSmoke111,,,
,@MeskyMesc,,,
,@bp_mood_rider,,,
,@HeyJArmando,,,
,@datta_pavan,,,
,@BillLong333,,,
,@KBTLbacon,,,
,@MariaDY,,,
,@ZaynGagaGucci,,,
,@ZaynGagaGucci,,,
,@WaaadhaAbdallah,,,
,@cinnabuz,,,
,@AmmanuelSanta,,,
,@btsrslytho,,,
,@iheartjalo,,,
,@tehraka,,,
,@MomProTitus2,,,
,@mattlucas1968,,,
,@annajones55467,,,
,@annajones55467,,,
,@AntwonInDisBihh,,,
,@sas_elisa,,,
,@MyGood_Health1,,,
,@LishaLove8,,,
,@blasphamy75,,,
,@jungyiren,,,
,@Luis_Aguilar95,,,
,@Deexjay,,,
,@FFCCOOLJC,,,
,@kdmitchell7,,,
,@kdmitchell7,,,
,@slucasdesigns,,,
,@togoMass,,,
,@AMGreyPodcast,,,
,@JasonShoultz,,,
,@realwillhagens,,,
,@TheDaSeanButler,,,
,@marissamaym,,,
,@GhostCatHoarder,,,
,@arthanders,,,
,@KierstenMarie23,,,
,@CandaceA,,,
,@universenme,,,
,@waynebest,,,
,@MatchAffinity,,,
,@Thesismis,,,
,@stfargher,,,
,@Dieter117,,,
,@heartpresenceuk,,,
,@Coffeeshopsofa,,,
,@microprompt,,,
,@frdm4life,,,
,@xbeccajx_,,,
,@DominiqueVanpee,,,
,@KamyJSC,,,
,@aliciaavaraa,,,
,@FFCCOOLJC,,,
,@FakeJuli,,,
,@bmendoza9671,,,
,@bmendoza9671,,,
,@SincroHk,,,
,@eraivy,,,
,@6grammidisale,,,
,@H_Hunzo,,,
,@YanXinWang1,,,
