Time,Screen Name,Tweet,RT,Followers
0:08:40,@TinaSackman1,RT @patrick_hostis: Is this the future we want 4 🇺🇸 women! @CarmineZozzora #WakeUpAmerica @Chinookpilot6 @TamiDurling #HillaryClinton https…,556,4657
0:08:45,@TinaSackman1,RT @patrick_hostis: @CarmineZozzora @Chinookpilot6 #WakeUpAmerica #PresidentTrump #tcot #ccot @TamiDurling https://t.co/jmqg7pKxQR,2,4657
0:08:46,@DonnyLateNight,RT @kbrz_z: @EWErickson and the Cuckservatives... #AlwaysTrump #Trump2016 #WakeUpAmerica #DumpTheEstabishment @Ricky_Vaughn99 https://t.co…,25,3041
0:08:53,@sal_oathkeeper,Statement From Conservatives Against Trump #WakeUpAmerica #UniteWithCruz #CruzCrew #TrusTED #NeverTrump #NeverKasich https://t.co/qtoU57gZJG,0,1115
0:08:56,@TinaSackman1,RT @patrick_hostis: @CarmineZozzora @Chinookpilot6 #WakeUpAmerica #PresidentTrump #tcot #ccot @TamiDurling https://t.co/7zX5Mvdmgk,3,4657
0:09:25,@PatriotJewel,RT @texasfreedom101: MT @PatriotJewel: #WakeUpAmerica & VOTE #CRUZ. He has always fought for our rights! https://t.co/M5vflFlPBc #CruzCrew …,2,7099
0:09:29,@DavidWeingust,#WakeUpAmerica #NeverHillary https://t.co/AdkWrlGIdS,0,313
0:09:30,@I_N_F_O_W_A_R_S,"RT @RealAlexJones: People need to be shaken out of their trances, even if it takes getting them angry at first - https://t.co/E6dogUvpBp #W…",56,1776
0:09:31,@508zamo,RT @flhuxtable: We need to get the federal government out of our lives & bring government back to the state &amp; local level. #WakeUpAmerica,68,202
0:09:43,@speedingisfun,RT @Network_Citizen: MT @Babbsgirl2: Obama has done more to hurt the American people than any president in history. https://t.co/iG9wryw5T6…,5,5001
0:57:41,@mybodyworks2010,RT @RNRMaryland: Better #WakeUpAmerica #BlackLivesMatter is a coalition of Anti-American enemies! #RedNationRising #PJNET #ccot #tcot https…,74,464
0:57:49,@Iccross64ina,RT @RNRMaryland: Better #WakeUpAmerica #BlackLivesMatter is a coalition of Anti-American enemies! #RedNationRising #PJNET #ccot #tcot https…,74,682
0:57:53,@warrenmcw,RT @AZ_4_TRUMP: #WakeUpAmerica #Arizona Join us on the #TrumpTrain on its way to #MakeAmericaGreatAgain 4 ALL #Americans! #Trump2016 https:…,17,131
0:57:55,@Kerri1111,RT @FredZeppelin12: If she isn't prosecuted If she isn't convicted If she isn't imprisoned We've lost our country #WakeUpAmerica https:…,168,3050
0:58:02,@Mnbumper,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,48,1256
0:58:08,@michaelkpate,"Since when is worshipping an Authoritarian Statist required to be on @FoxNews, @ericbolling? #WakeUpAmerica https://t.co/nqagATBMPi",0,1315
0:58:13,@HarryJbug54,RT @SandraHartle: #Trump2016 #VoteTrump #TrumpTrain #MakeAmericaGreatAgain #AlwaysTrump #WakeUpAmerica #tcot #ccot #pjnet #alwaysTrump http…,14,1734
0:58:29,@JohnWallace30,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,256,2056
0:58:48,@jstines3,.@SheriffClarke: Obama is on a GUN CONTROL MISSION. #WakeUpAmerica #TCOT #PJNET #NRA #2A #COSProject https://t.co/TUbBmQ0tWI,7,59155
0:59:18,@RustyBradley74,#FeeltheBern #Berniesanders #Bernie2016 #WakeupAmerica ‘Men’ Who Vote Bernie Sanders: You’re not Men at All.. https://t.co/rm84E5k0Ad,0,470
0:59:31,@OinomaosOGadari,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,256,938
0:59:32,@sflanigan01,"RT @Stonewall_77: NOT JUST NO, BUT HELL NO! #WeThePeople #GOP(e) #WakeUpAmerica #TrumpTrain # https://t.co/bKzs2RIkaQ",222,362
0:59:36,@trump_al,RT @AllRepublicans: #WakeUpAmerica Watch Video: #DonaldTrump: The Long Road to the #WhiteHouse ♥ #VoteTrump2016 & #MakeAmericaGreatAgain ht…,4,78
0:59:44,@Trial_Watcher1,RT @Network_Citizen: MT @bcwilliams92: STOP TALKING... PROSECUTE HER https://t.co/s0H769Gf1C #WakeUpAmerica #PJNET,1,2205
0:59:44,@Entrepreneurs4T,RT @jstines3: .@SheriffClarke: Obama is on a GUN CONTROL MISSION. #WakeUpAmerica #TCOT #PJNET #NRA #2A #COSProject https://t.co/TUbBmQ0…,7,2572
0:59:45,@sandyriccobono,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,256,924
0:59:46,@RNRPennsylvania,This Is How Libs Are Silencing Free Speech https://t.co/gI0iWk4XeV #RedNationRising #tcot #ccot #PJNET #WakeUpAmerica,0,4003
1:00:01,@feeonly77,RT @Mike_Beacham: #WakeUpAmerica UK is struggling with what we must avoid. #STOPtheMuslimINVASION PROTECT AMERICA @realDonaldTrump http…,20,846
1:00:01,@MarineCorps98,RT @patrick_hostis: @CarmineZozzora @Chinookpilot6 #WakeUpAmerica #PresidentTrump #tcot #ccot @TamiDurling https://t.co/jmqg7pKxQR,5,368
1:00:10,@SandiErtzberger,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,48,109
1:00:14,@LarryJo28613818,RT @YANKEEFANNO3: #WakeUpAmerica #TheFive CARTER OBAMA ECONOMY. THE LIST GOES ON AND ON! TIME FOR A BUSINESS SAVY OUTSIDER! https://t.co…,3,106
1:00:25,@vox4america,"RT @Stonewall_77: NOT JUST NO, BUT HELL NO! #WeThePeople #GOP(e) #WakeUpAmerica #TrumpTrain # https://t.co/bKzs2RIkaQ",222,2079
1:00:43,@bcg1998,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,256,2162
1:00:51,@CarolBuie2,RT @SandraHartle: #Trump2016 #VoteTrump #TrumpTrain #MakeAmericaGreatAgain #AlwaysTrump #WakeUpAmerica #tcot #ccot #pjnet #alwaysTrump http…,22,250
1:00:51,@Joshilypuff,"RT @USMC3rdBnMCo: If you support Trump, stop calling yourself conservative and cut a check to planned parenthood. #wakeupamerica",5,1143
1:00:54,@DanielGoodfell3,RT @ouchinagirl: OBAMA'S BUDGET & TROOP CUTS LEAVE AMERICA🇺🇸 EXPOSED TO ATTACK 👎 https://t.co/OEgSzcl133 via @nypost #tcot #pjnet #OiP #GOP…,23,196
1:01:15,@sdv92,I want it too!!!! #WakeUpAmerica https://t.co/n0ZGr1u5qx,2,13225
1:01:15,@martylawson,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,48,3853
1:01:20,@LakePatriot,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,256,1907
1:01:23,@FrankFfurlan88,RT @jstines3: .@SheriffClarke: Obama is on a GUN CONTROL MISSION. #WakeUpAmerica #TCOT #PJNET #NRA #2A #COSProject https://t.co/TUbBmQ0…,7,766
1:01:24,@brian_baudassi,RT @SandraHartle: #Trump2016 #VoteTrump #TrumpTrain #MakeAmericaGreatAgain #AlwaysTrump #WakeUpAmerica #tcot #ccot #pjnet https://t.co/zNV4…,107,46
,@CarolMBoothe,,,
,@sjFirefbp,,,
,@jphillipsjack,,,
,@stevemeredith21,,,
,@cjhunt7,,,
,@UnitedCitizen01,,,
,@Network_Citizen,,,
,@Hooper19Hooper,,,
,@virginia_fidler,,,
,@libertylady44,,,
,@MTGannon,,,
,@MsFallFive,,,
,@warriors_mom,,,
,@dalonzi3,,,
,@rxpatriot46,,,
,@HenryEvans4,,,
,@mgmargarita7236,,,
,@WhitneyHunn,,,
,@TiNaMaRiEred,,,
,@AtillasAdvisor,,,
,@SaltyPatriot7,,,
,@HaroldStockburg,,,
,@Chris11962,,,
,@RNRPennsylvania,,,
,@ornerynana,,,
,@Going__Galt,,,
,@justadad21,,,
,@FredZeppelin12,,,
,@jtf18james,,,
,@dignitasnews,,,
,@rxpatriot46,,,
,@theratzpack,,,
,@marywmann,,,
,@rxpatriot46,,,
,@mrshobbs58,,,
,@ramitchell99,,,
,@DavidWard1965,,,
,@Navyvetjack6870,,,
,@nendaas1,,,
,@szcannon,,,
,@MAVEN300,,,
,@RNRPennsylvania,,,
,@USA___Forever,,,
,@karenholewa1,,,
,@ChristieC733,,,
,@CommuRetweet,,,
,@rlhtexas1958,,,
,@Night_Owler_,,,
,@MDianeRN,,,
,@All_Know_ing,,,
,@lilrascal01,,,
,@BarbaraDuke,,,
,@honolulujack,,,
,@Bobp1169,,,
,@MPrestrepo2334,,,
,@clbozz,,,
