Time,Screen Name,Tweet,RT
2:02:00,@zakchezney,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2473
3:00:00,@Pcrawls,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670
3:00:00,@georgiegirl1216,RT @JudgeMoroz: The Reagan Legacy lives on with each & every Vote for @realDonaldTrump ... Let's #MakeAmericaGreatAgain! 🇺🇸 https://t.co…,55
3:00:00,@DinoFancellu,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670
3:00:00,@ESantorini,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670
3:00:00,@StagePlaywright,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1789
3:00:00,@WyattAmazing,RT @realDonaldTrump: Join me tomorrow! #Trump2016 #MakeAmericaGreatAgain https://t.co/1Yak4I5B7b,2393
3:01:00,@twgforceone,#Trump #MakeAmericaGreatAgain #UT #UniteBlue https://t.co/3Jcin76ZGY,0
3:01:00,@ZnaTrainer,RT @DanScavino: Utah Republicans Open Caucuses to Online Voters. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co/SXPjav5vKh,378
3:01:00,@Win_Freedom,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",563
3:01:00,@jhead77,RT @DanScavino: We are approaching UTAH! Get out & #VoteTrump on Tuesday! @realDonaldTrump will #MakeAmericaGreatAgain! #Trump2016 https:/…,592
3:01:00,@BerkowitzAnne,RT @TRUMPHIANT2016: #MarchMadness but sane endorsement of @realDonaldTrump #MakeAmericaGreatAgain #TrumpTrain #TeamTrump #WeAreTrump https:…,2
3:01:00,@land_joe,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670
3:02:00,@eikes17,RT @Zackary_Scott: Phoenix* #MakeAmericaGreatAgain https://t.co/X920sYkrXU,1
3:02:00,@RelativeAmerica,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670
4:00:00,@asyoureadthis,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989
4:00:00,@day_henao,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989
4:01:00,@bydefault,RT @RaznCA: This made me smile... #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #NEVERCRUZ https://t.co/uqDbb7OMNQ,6
4:01:00,@trump_world,Start spreading the news! Trump 65% in NY! @realDonaldTrump will #MakeAmericaGreatAgain #Trump2016 https://t.co/J2UyXULGta,0
4:01:00,@KDScioscia,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2988
4:01:00,@kathyca912,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989
4:01:00,@BlossomandBev,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1918
4:01:00,@dejrabel,RT @realDonaldTrump: Thank you Arizona- I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/fTzaIvTX9b,4718
4:01:00,@FredFredlopez8,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989
4:02:00,@k9dobny,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1918
5:00:00,@DameonHuber,RT @WeNeedTrump: 87% of voters believe Trump will be nominee. #MakeAmericaGreatAgain https://t.co/Sv1uCfjODY,91
5:00:00,@joeygilbertinc,RT @LindaSuhler: Please Caucus For Trump #Utah ✔️ VOTE #Trump2016 #UtahForTrump #UTCaucus #UtahCaucus #MakeAmericaGreatAgain https://t.co/…,179
5:00:00,@CowboyUp1930,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:00:00,@oxbrennanxo,RT @JOHNCOSSEL: 10yrs b4 patriot @snowden #truth on #4a rights violations mayb Xfiles inspired him2 #MakeAmericaGreatAgain #cfinc https://t…,1
5:00:00,@LMM1952,"RT @DanScavino: LIVE on #Periscope: DONALD J. TRUMP RALLY, Salt Lake City, Utah. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co…",367
5:00:00,@connnutmeg,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:00:00,@SqlAgent01,RT @DanScavino: Join @RealSheriffJoe & #TeamTrump! Hop aboard the #TrumpTrain and lets #MakeAmericaGreatAgain! #Trump2016 https://t.co/0oO…,858
5:00:00,@Helen571162721,#makeamericagreatagain https://t.co/7QOonb1eI9,0
5:00:00,@EPS1991,RT @healthandcents: Good night all! 🇺🇸 😴 Thanks for RT & follows to help #MakeAmericaGreatAgain https://t.co/Z0Vg3KGCop,24
5:00:00,@SqlAgent01,"RT @NYC4TRUMP2016: Jorge Ramos hates Trump so much, it's awesome #Trump2016 #MakeAmericaGreatAgain",18
5:00:00,@Imperfect10n,"RT @realDonaldTrump: Thank you, Florida! #SuperTuesday #MakeAmericaGreatAgain #Trump2016 https://t.co/nzhnLQXrZg",10743
5:00:00,@malski1954,RT @PRESlDENT_TRUMP: Trump is going to #MakeAmericaGreatAgain,38
5:00:00,@Turner2Nate,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:00:00,@BryanBlakeCox,RT @JudgeMoroz: Not since President Reagan has the @GOP been so poised to #MakeAmericaGreatAgain as it is with @realDonaldTrump 🇺🇸 https://…,3
5:00:00,@sareed59,RT @keksec__org: @realDonaldTrump I'm Dutch and Europe wants you to be the U.S. president! #MakeAmericaGreatAgain https://t.co/90ZpK5dp5C,21
5:00:00,@Thunder103093,We can really #MakeAmericaGreatAgain by kicking out all the fucking stupid right wingers!,0
5:01:00,@47PatriotFI,RT @philbo777: TO ALL THE HATERS THAT HAVE TRIED TO DESTROY THIS MOVEMENT!! #SuperTuesday #AlwaysTrump #MakeAmericaGreatAgain https://t.co/…,115
5:01:00,@bluestarwindow,#Trump #Trump2016 #Utah #UtahPrimary #MakeAmericaGreatAgain #AlwaysTrump https://t.co/H93yDZfold,1
5:01:00,@Helen571162721,#makeamericagreatagain https://t.co/Y1tlltWPF4,0
5:01:00,@askme1x,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:01:00,@SqlAgent01,RT @NYC4TRUMP2016: Boss #Trump2016 #MakeAmericaGreatAgain https://t.co/aHMeUUvtvL,10
5:01:00,@TimHuds02462029,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:01:00,@endo_lee,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,2061
5:01:00,@ync1994,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:01:00,@Thomas__Art,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:01:00,@AynsFriend,TWO COMMIE SHITBAGS #ObamaCuba #MakeAmericaGreatAgain https://t.co/hQh3E16Et5,0
5:01:00,@ConservVoice,RT @philbo777: TO ALL THE HATERS THAT HAVE TRIED TO DESTROY THIS MOVEMENT!! #SuperTuesday #AlwaysTrump #MakeAmericaGreatAgain https://t.co/…,115
5:01:00,@VWAudiPorsche,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",727
5:01:00,@Helen571162721,#makeamericagreatagain https://t.co/YRJ8CxhY2M,0
5:02:00,@sandyslove123,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385
5:02:00,@maher_kathryn,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,2061
6:00:00,@DeFuniakSweets,RT @Chairmnoomowmow: Your humble chairman is headed to the Trump riots today. Wish me luck. #MakeAmericaGreatAgain https://t.co/VEE8jn086o,7
6:01:00,@Politicallyin18,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@SteuerCarla,"RT @DaGodfather907: ""I'm going to make America great again"" IS A POLICY!!! @Reince. #Trump2016 #MakeAmericaGreatAgain",25
6:01:00,@BoJaques,Who's ready for some more Men's College Basketball? #MarchMadness #MakeAmericaGreatAgain,0
6:01:00,@debr447,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@hsgribble,RT @NetworksManager: .My Man @realDonaldTrump Killing it #LIVE #SaltLakeCity #Utah #MakeAmericaGREatAgain #TrumpTrain #Trump2016 #DC #NYC h…,323
6:01:00,@ButchJocson,"RT @DaGodfather907: ""I'm going to make America great again"" IS A POLICY!!! @Reince. #Trump2016 #MakeAmericaGreatAgain",25
6:01:00,@lisam02184,RT @tponews: Trump must be doing Something Right! #MakeAmericaGreatAgain #TrumpTrain #WeLoveTrump https://t.co/yW9temL51a,413
