Time,Screen Name,Tweet,RT,Followers
0:02:00,@thegarz,NotSurprised #whichhillary #FeelTheBern #NotForSale #HistoryByHillary https://t.co/O0E6huh3oL,0,7717
0:02:00,@Sanders_4_POTUS,Bernie Sanders Music Videos YouTube https://t.co/5AlB42dVTb #FeelTheBern #BernieSanders #Bernie2016 d,0,6271
0:02:00,@indiecitizn,RT @BayArea4Bernie: Who's in? Just 10 minutes a day could make a huge difference. #NotMeUs #FeelTheBern https://t.co/zvT2SOvg75 https://t…,20,104
0:02:00,@RemyKyd,RT @HawaiiforBernie: This Friday @ UH Manoa! Live performances! #FeelTheBern #BernieSanders #hawaiiforbernie #bandsforbernie https://t.co/a…,24,3097
0:02:00,@gigglebits11,RT @PDX_For_Bernie: Do I need to say anything else? Keep fighting. We WILL win #FeelTheBern #BernieSanders #Bernie2016 #StillSanders https…,31,1799
0:02:00,@zoeshelby1900,RT @Moonbattery1: Open Thread https://t.co/Z6Y4XGP0Sb #FeelTheBern #tcot #PJNET https://t.co/LD9Zhyln2F,14,63
0:02:00,@RealHClinton,#FeelTheBern #whichhillary #BernieOrBust #Bernie2016 #BernieForThePeople #stillsanders #ReleaseTheTranscripts https://t.co/LFCyPGJgLA,0,305
0:02:00,@gypsy_bby,RT @richyfeIix: #FEELTHEBERN TUCSON!! WE STAND WITH YOU BERNIE! ❤️,7,17
0:02:00,@BernieEventsOC,"RT @spandakolis22: Can't believe how beautiful it was today in Salt Lake, Utah at the #BernieRally #TheWestIsYetToCome #FeelTheBern https:/…",68,78871
0:02:00,@espinosa_geri,RT @richyfeIix: #FEELTHEBERN TUCSON!! WE STAND WITH YOU BERNIE! ❤️,7,1424
0:02:00,@stewalaniz,#FeelTheBern https://t.co/ILaInR16RB,0,1193
0:02:00,@nospig,RT @GSElevator: Socialism gets a lesson in free markets. #FeelTheBern https://t.co/exiYgz03yb,1276,3644
0:02:00,@zoe_blueeyesbae,"RT @Blunt_Doctor_RX: I've never been so honored to know people as I was then, standing among other Bernie supporters who fought for our voi…",10,1756
0:02:00,@swermpls,"RT @NCForBernie: Utah Feels the Bern as 14,000 Turnout for Sanders in Salt Lake City https://t.co/VEvhC339st #FeelTheBern #Bernie2016",110,146
0:02:00,@Celtic_Barb,Why Blue & Swing State Wins R the Only Wins that Matter https://t.co/BxASIFmZzf #Bernie #bernie2016 #FeelTheBern #progressive #Vote #primary,0,454
0:03:00,@RemyKyd,RT @Daguirre84: #Bernie2016 in #SaltLakeCity #FeelTheBern I was there. It mattered. Utah matters. Go to caucus 3/22. https://t.co/yW0Ug2yeb2,23,3872
0:03:00,@wallstsuperstar,RT @feathersnpaws: How the oligarchs & GOP have bled the 99% &amp; made us fight each other for the crumbs. #HillNo #FeelTheBern @cenkuygur htt…,7,146
0:03:00,@baroqueartisan,RT @dadiniowa: #Arizona #AZPrimary We are counting on you #Az! Get out the vote for #BernieSanders! #Thankyou! #feelthebern 🔥 https://t…,17,212
0:03:00,@gkielec,RT @cd5762: #Vets4Bernie I support Bernie b/c he won't allow the GOP to privatize the VA. #FeelTheBern http://t.co/xcRru9x20e http://t.co…,28,627
0:03:00,@evehnyc_eve,RT @heavyd0010: Went to Bernie Sanders rally in Idaho falls #FeelTheBern @BernieSanders https://t.co/lKcfQYZsyA,1,180
0:03:00,@cruise_peter,RT @TweetingYarnie: GOP wants to cut benefits in half of Veterans. Tell them NO! #FeelTheBern #DefendTheGIBill https://t.co/b9yCW0rDEm htt…,45,2688
0:03:00,@indiecitizn,RT @LollipopCrumbs: Hawaii residents- Rock the vote on March 26! Registration starts at noon! #Wahine4Bernie #FeelTheBern #Hawaii4Bernie ht…,30,1259
0:03:00,@sophia_mahmud,"RT @People4Bernie: Idaho, Arizona, and Utah are ready for a political revolution. Let's make sure they start building one: https://t.co/NLA…",437,109
